22	40.7143028069402
28	40.6785360742543
30	40.3724359061107
31	38.9501902324619
33	38.5119793633126
35	36.9925599684676
37	36.0369877467337
38	35.0059738416528
40	32.7180658823234
41	31.2123509346341
nan	nan
84	28.3097809794082
86	26.7455896547497
nan nan
91	26.0862160850285
nan nan
96	24.8187379341747
nan nan
100	22.8278730482465
nan nan
147	21.5507487812236
150	18.6059752885743
152	17.7337964378895
154	16.6634388290177
158	16.5996319684734
163	14.4142570660246
nan nan
204	14.3694986476447
207	12.9279074733535
209	11.6688261532936
nan nan
271	10.9312301889336
275	9.4264646242305
