x	y
35	10.4556367050801
41	9.70875420854212
47	13.6800345882588
53	15.3169058911421
60	18.0772654473442
66	14.385841368634
72	16.9159298605934
79	18.5554308168708
91	20.848856647355
97	20.8162614431492
116	21.3443614557308
123	21.3996687299742
135	21.9710714010582
141	22.2692415605296
160	22.3681829320249
167	22.5210548538896
185	22.87921180901
204	22.9799306943641
211	23.0698215817255
229	23.1432740781772
248	23.2194530372108
255	23.2607662954584
273	23.3114078562817
292	23.3700076896041
299	23.4191901267985
317	23.514920993032
336	23.5114616418523
343	23.5289515496343
361	23.5843607385771
380	23.6037260374146
387	23.602420530101
405	23.5880908605821
431	23.6337721701388
449	23.6509015293007
475	23.6633587907057
493	23.6998475212984
519	23.7023153763146
537	23.7211398698496
563	23.7343874764202
581	23.723064105603
607	23.7386749474803
625	23.7406876524467
651	23.7400176327985
669	23.746458414423
695	23.7565809417555
713	23.7553900515038
739	23.7328205961607
757	23.7337310302843
783	23.7364539932459
801	23.7380061645141
827	23.7478240376315
845	23.7573253153135
871	23.7615914389768
889	23.7650352498684
915	23.7681277488309
933	23.7701269519916
977	23.7745819102436
1021	23.7927221861581
1065	23.8021722899661
1109	23.81737544435
1153	23.8267770597694
1197	23.8349058320729
1241	23.8316185052577
1285	23.8293122971883
1329	23.8325421673196
1373	23.8227872383969
1417	23.8209856141077
1461	23.8249846315753
1505	23.8244069438811
1549	23.8229715976213
1593	23.8264100559808
1637	23.8274361181288
1681	23.8251903873708
1725	23.8300069154597
1769	23.8315387830182
1813	23.8315388410472
1857	23.8394001403778
1901	23.8396186200097
1945	23.844940296306
1990	23.8519557503699
2034	23.8584487342165
2078	23.8581617316236
2122	23.8522607030331
2166	23.8441135070074
2210	23.8425865304748
2254	23.8416694298436
2298	23.8403724217701
2342	23.8409661908375
2386	23.8432206361409
2430	23.8435896375326
2474	23.8423949756962
2518	23.8421163356653
2562	23.8535311445793
2606	23.8588399433384
2650	23.8653773314475
2694	23.8623047748164
2738	23.8634400317564
2782	23.8663375038988
2826	23.8668985286483
2870	23.866088897356
2914	23.8679959551317
2958	23.8693944947251
3000	23.8736932445118
3908	23.8809230402208
5559	23.8847022996284
6630	23.90290467814
16000	23.9784472171729
16000	24.2166448469774
6630	24.1940333781092
5559	24.1888010479823
3908	24.182447227937
3000	24.1781163391362
2958	24.18067340802
2914	24.183391191832
2870	24.1827474842477
2826	24.1791885239001
2782	24.178910594373
2738	24.1816210593488
2694	24.1828871514998
2650	24.1824162131076
2606	24.1773342472506
2562	24.1805402414686
2518	24.1810286180717
2474	24.1778001510342
2430	24.1712739503567
2386	24.1607882133121
2342	24.1587426438669
2298	24.1592662746552
2254	24.1593536209264
2210	24.1647257022153
2166	24.1682939121692
2122	24.1732965448798
2078	24.1789832132441
2034	24.1799313189655
1990	24.1822578131538
1945	24.1805631341191
1901	24.177695846953
1857	24.1762561779042
1813	24.1723947681721
1769	24.1705854322209
1725	24.1716718466882
1681	24.170566901465
1637	24.1690386018709
1593	24.1703436854998
1549	24.1691406160438
1505	24.1709312086769
1461	24.1740220596449
1417	24.1800890048525
1373	24.1751269122138
1329	24.1728964821598
1285	24.1788921235606
1241	24.1745080118889
1197	24.18124976426
1153	24.1805791418221
1109	24.1807756990747
1065	24.1734418844199
1021	24.1766251753646
977	24.1992019925131
933	24.2112765082237
915	24.2036507387412
889	24.201532827286
871	24.2022765376339
845	24.2007282405242
827	24.2001320631958
801	24.2090774707545
783	24.2130749563029
757	24.2209881847456
739	24.2266600144697
713	24.2216671143463
695	24.2083362100769
669	24.217274185368
651	24.2301294859656
625	24.2414863007516
607	24.2503693048427
581	24.250029510435
563	24.2684867579324
537	24.2843934757212
519	24.2783678233938
493	24.256656484703
475	24.2872352990735
449	24.3543421015505
431	24.376790370813
405	24.3659853056746
387	24.3590904336576
380	24.3767653808567
361	24.4126895998723
343	24.4097199131623
336	24.4167170800699
317	24.4256435338503
299	24.4636021282934
292	24.5432596354705
273	24.5551529395716
255	24.559126454393
248	24.6208669204436
229	24.5466119505326
211	24.5464437024847
204	24.5427673131689
185	24.5504947517365
167	24.6915799851146
160	24.8495401990746
141	24.9187519822554
135	24.9877778661093
123	25.5060751925767
116	25.4735818583311
97	25.3781683102089
91	25.3364581210839
79	28.3401849152478
72	29.6066020670441
66	32.3718282664274
60	28.0121935760661
53	29.9367293142988
47	31.1583951223543
41	30.6223416781242
35	30.900439355364
