x	y
35	1.63214760188177
41	1.97995500099346
47	2.57639684239717
53	2.86399184954466
60	3.10020396244602
66	3.16785186220818
72	3.32829239544505
79	3.86424496030519
91	3.98167244818166
97	4.4568732422356
116	5.71617689926268
123	6.11735079151064
135	6.83703732786489
141	7.14184402689337
160	8.13370633157421
167	8.33520569763922
185	8.97294828421709
204	9.95385115791446
211	10.4288510125064
229	11.1573816902745
248	12.0332238333145
255	12.3115630759685
273	12.9309710922592
292	13.478164073172
299	13.5531650626454
317	14.264885359668
336	14.908738957741
343	14.9659852951618
361	15.5305773593573
380	16.0758968659519
387	16.2085029582597
405	16.532307190059
431	17.2577795510439
449	17.5709902790669
475	17.969166065571
493	18.3954425189589
519	18.7828603493271
537	19.0589994497571
563	19.3718892639303
581	19.5856729082069
607	19.9305827568078
625	20.0470074877672
651	20.263859607685
669	20.4632714222783
695	20.6601983571394
713	20.7766910778594
739	20.9846237924234
757	21.0927122372311
783	21.2928267991624
801	21.3925254449901
827	21.6152536573012
845	21.7893446233629
871	21.9756171827253
889	22.0471978837711
915	22.140020646721
933	22.2105912144407
977	22.4234230434444
1021	22.6119175369349
1065	22.7638088335155
1109	22.9195636181456
1153	23.0625132509353
1197	23.1445398766306
1241	23.2350113825536
1285	23.2778593158615
1329	23.3273137821725
1373	23.3970627863024
1417	23.4496952931239
1461	23.4863836286941
1505	23.5055658625345
1549	23.5343154093137
1593	23.564534132798
1637	23.6088082289913
1681	23.6290159059846
1725	23.6355258653058
1769	23.6436483105138
1813	23.6529617110279
1857	23.6731313669256
1901	23.6904115699721
1945	23.7125849276206
1990	23.7243843714467
2034	23.7412547699348
2078	23.7473142692419
2122	23.7463074834298
2166	23.7452345099722
2210	23.7529339893364
2254	23.7558223050508
2298	23.7557360214245
2342	23.7581049382018
2386	23.7631532225732
2430	23.7682740587398
2474	23.7693686813235
2518	23.7704417855334
2562	23.7754646239374
2606	23.7861755143841
2650	23.7979322832901
2694	23.806182969163
2738	23.8091501449816
2782	23.81183185344
2826	23.8106031282602
2870	23.8220140176279
2914	23.826648064204
2958	23.8215656808315
3000	23.8209479042386
3908	23.8662788985639
5559	23.9219277531618
6630	23.9368156644599
16000	24.0329660128799
16000	24.3325164227323
6630	24.3336814639804
5559	24.3056138548589
3908	24.2766176093459
3000	24.2476692656803
2958	24.2621575575773
2914	24.2409692475369
2870	24.2279221779508
2826	24.2370167014833
2782	24.2281163116969
2738	24.2214005343442
2694	24.2201658724366
2650	24.2263161187441
2606	24.2210992114392
2562	24.2104813157127
2518	24.1966261421778
2474	24.1904597553502
2430	24.1904871023233
2386	24.1909401046796
2342	24.1931409270155
2298	24.1914101178091
2254	24.1815676322136
2210	24.1770045455
2166	24.1794082679434
2122	24.1606481449413
2078	24.1589066354041
2034	24.1510856389841
1990	24.1478713204164
1945	24.1454920967061
1901	24.1318161683904
1857	24.1205516273613
1813	24.1212831842851
1769	24.1167581880461
1725	24.120379834005
1681	24.1147837681886
1637	24.1042586288555
1593	24.0891643103222
1549	24.0692233423677
1505	24.0569715175552
1461	24.0575134888627
1417	24.0651241336497
1373	24.0414044280906
1329	23.9979010870293
1285	24.0058102301631
1241	23.957155859629
1197	23.950898069617
1153	23.9407656293208
1109	23.9003595207505
1065	23.8197309999856
1021	23.7694584550556
977	23.7623541247067
933	23.727221046871
915	23.6869031774824
889	23.6767937948985
871	23.6739987636727
845	23.6122413425943
827	23.6326325423972
801	23.6186686308351
783	23.6624413398038
757	23.5278948777378
739	23.4708922371382
713	23.4858960333723
695	23.3881865324396
669	23.342426888953
651	23.3359924282786
625	23.3073672787115
607	23.1117786857611
581	23.0143286071283
563	22.9497604894191
537	22.8176491032213
519	22.72045209776
493	22.4879364474682
475	22.2616889060567
449	21.785855715624
431	21.5239778569032
405	21.411669273807
387	21.026522987328
380	20.9572808301175
361	20.9456174713895
343	20.8857202138401
336	20.6716676525992
317	20.4994016687067
299	20.2151083476976
292	19.959860243021
273	19.386752561444
255	19.0404653699561
248	18.916225108967
229	18.2607749139739
211	17.8649521582968
204	17.7871919876998
185	17.2411049202483
167	16.5527043314492
160	16.0718337964846
141	15.4517770420477
135	14.7598406137609
123	14.144118956298
116	14.0534478450034
97	13.2293216483428
91	13.0649696856962
79	11.6906976604746
72	11.3779494878231
66	10.6762149468585
60	9.99134355458404
53	9.71644185630716
47	9.2993365151699
41	8.32586899906951
35	6.93180406035273
